VendorNumber,VendorName,Brand,Description,PurchasePrice,actualprice,Volume,totalpurchasequantity,totalpurchasedollars,totalsalesquantity,totalsalesdollars,totalsalesprice,totalexcisetax,freightcost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
480,BACARDI USA INC,4243,Bacardi Superior Rum,14.49,19.99,1750.0,76389.0,1106876.6099999847,77041.0,1657809.5899999589,77041.0,141551.60999999463,89286.26999999999,550932.9799999741,33.23258493154137,1.0085352603123487,1.4977365814966328
8112,MOET HENNESSY USA INC,6654,Veuve Clicquot Brut Yellow,27.2,39.99,750.0,40380.0,1098336.0000000028,38506.0,1584665.4099999745,38506.0,4316.360000000024,48347.26,486329.40999997174,30.6897220656807,0.9535908865775137,1.442787462124496
3960,DIAGEO NORTH AMERICA INC,8512,Baileys Irish Cream,14.72,19.99,750.0,72952.0,1073853.4400000074,73122.0,1456174.779999948,73122.0,57570.69000000164,257032.07000000007,382321.3399999407,26.25518208741085,1.0023302993749315,1.3560274854638805
7245,PROXIMO SPIRITS INC.,3802,Three Olives Vodka,13.43,18.99,1750.0,77066.0,1034996.3799999938,74722.0,1408627.7799999358,74722.0,137288.57999998832,38994.78000000001,373631.39999994193,26.5244946397379,0.9695845119767472,1.3609977843593464
11567,CAMPARI AMERICA,3826,Skyy Vodka,15.74,19.99,1750.0,65382.0,1029112.6799999664,64388.0,1327401.119999955,64388.0,118298.36999999374,20964.809999999998,298288.43999998854,22.471612800808746,0.9847970389403812,1.2898501260328443
8112,MOET HENNESSY USA INC,42188,Moet & Chandon Nectar Imp Rs,34.01,52.99,750.0,29829.0,1014484.2900000048,29498.0,1533634.5199999916,29498.0,3314.2300000000046,48347.26,519150.2299999868,33.8509744811945,0.9889034161386571,1.5117380674273273
17035,PERNOD RICARD USA,3423,Beefeater,21.25,26.99,1750.0,46163.0,980963.75,44762.0,1177834.379999955,44762.0,82244.15999999759,123780.21999999997,196870.62999995495,16.714627569282065,0.9696510192145225,1.2006910347094426
8004,SAZERAC CO INC,5138,Fireball Cinnamon Whisky,11.1,13.99,750.0,87954.0,976289.3999999905,84289.0,1174428.3599999626,84289.0,66360.95000000203,50293.62000000002,198138.95999997214,16.871098037855493,0.9583304909384451,1.2029510511944246
17035,PERNOD RICARD USA,5734,Malibu Rum,15.82,21.99,1750.0,61639.0,975128.9800000095,60102.0,1293182.9799999534,60102.0,110429.44999999503,123780.21999999997,318053.9999999439,24.594663316706765,0.9750644883920895,1.326166083177982
480,BACARDI USA INC,4227,Bacardi Superior Rum Trav,14.17,17.99,1750.0,68294.0,967725.9800000013,75147.0,1323223.5299999889,75147.0,138074.08999999723,89286.26999999999,355497.5499999876,26.86602391358553,1.100345564764108,1.3673535250133382
4425,MARTIGNETTI COMPANIES,3505,Tito's Handmade Vodka,13.76,18.99,750.0,69299.0,953554.2399999768,70603.0,1355204.9699999555,70603.0,55584.91000000147,144929.24,401650.7299999787,29.637637028440935,1.0188170103464695,1.4212143506382904
1128,BROWN-FORMAN CORP,1232,Jack Daniels No 7 Black,15.93,22.99,750.0,52932.0,843206.7599999951,53206.0,1255188.939999947,53206.0,41888.06000000122,68601.68000000001,411982.179999952,32.82232394431147,1.0051764528073754,1.4885897499208312
12546,JIM BEAM BRANDS COMPANY,1385,Makers Mark,20.45,26.99,750.0,41048.0,839431.6000000037,37615.0,1034144.8499999756,37615.0,29615.599999999547,123880.96999999999,194713.24999997194,18.828431046190147,0.9163662054180471,1.2319584466440996
8004,SAZERAC CO INC,5103,Fireball Cinnamon Whisky,17.14,23.99,1750.0,44198.0,757553.7200000103,43533.0,1093841.669999966,43533.0,79984.57999999783,50293.62000000002,336287.9499999556,30.743750144384798,0.984954070319924,1.443913007251751
17035,PERNOD RICARD USA,8000,The Glenlivet 12 Yr Single,53.96,67.99,1750.0,13759.0,742435.6400000077,13210.0,910688.8999999859,13210.0,24275.31000000056,123780.21999999997,168253.25999997824,18.47538275694157,0.960098844392761,1.2266233609151314
3960,DIAGEO NORTH AMERICA INC,2432,Crown Royal,17.59,22.99,750.0,41893.0,736897.8699999982,41506.0,967005.9399999788,41506.0,32678.119999999974,257032.07000000007,230108.0699999805,23.79593138796909,0.990762179839114,1.31226589106572
17035,PERNOD RICARD USA,5365,Kahlua,14.84,18.99,750.0,48583.0,720971.7199999975,48615.0,932815.849999988,48615.0,38272.7300000004,123780.21999999997,211844.12999999046,22.710176933635207,1.0006586666117778,1.2938314002108033
3960,DIAGEO NORTH AMERICA INC,3876,Smirnoff 80 Proof,13.95,19.99,1750.0,50962.0,710919.9000000035,64266.0,1210481.339999976,64266.0,118078.44999999629,257032.07000000007,499561.4399999726,41.26965228559264,1.2610572583493584,1.7026972236956233
1392,CONSTELLATION BRANDS INC,3913,Svedka Vodka,14.28,17.99,1750.0,48481.0,692308.6800000105,47805.0,875307.9499999926,47805.0,87832.82999999775,79528.99,182999.2699999821,20.906844271205767,0.9860563932262123,1.2643319017753458
8004,SAZERAC CO INC,3522,Platinum 7X Distilled Vodka,9.62,12.99,1750.0,71899.0,691668.3799999709,70351.0,914148.4899999931,70351.0,129253.36999999278,50293.62000000002,222480.11000002222,24.337414811025273,0.9784697979109584,1.3216571935817445
1392,CONSTELLATION BRANDS INC,2114,Black Velvet Canadian Whisky,9.41,12.99,1750.0,73227.0,689066.0700000038,72043.0,948838.5699999798,72043.0,132364.70999999208,79528.99,259772.49999997602,27.377944806773773,0.9838311005503435,1.37699215112997
4425,MARTIGNETTI COMPANIES,11219,Josh Cellars Cab Svgn Sonoma,8.44,12.99,750.0,80030.0,675453.2000000181,78392.0,1095045.039999988,78392.0,8799.819999999863,144929.24,419591.8399999698,38.317313413882445,0.9795326752467824,1.6212004621489076
9552,M S WALKER INC,3893,Zhenka 80 Proof,7.93,9.99,1750.0,81447.0,645874.709999989,81723.0,816412.7700000007,81723.0,150149.6299999911,55551.819999999985,170538.0600000117,20.888705599253615,1.0033887067663634,1.264042015207585
1128,BROWN-FORMAN CORP,811,Jack Daniels No 7 Black,19.84,29.99,1000.0,32554.0,645871.359999999,32064.0,937915.3599999896,32064.0,33667.20000000007,68601.68000000001,292043.99999999057,31.137564481297524,0.9849480862566812,1.4521705374890612
3960,DIAGEO NORTH AMERICA INC,2443,Seagrams VO,13.48,16.99,1750.0,47654.0,642375.9200000195,47446.0,902489.5399999813,47446.0,87173.56999999704,257032.07000000007,260113.6199999618,28.821787784927373,0.9956352037604398,1.4049243004002296
660,SAZERAC NORTH AMERICA INC.,2127,Canadian Ltd,7.19,10.49,1750.0,86887.0,624717.5300000095,86195.0,899110.5499999863,86195.0,158367.20999999036,17932.329999999994,274393.01999997685,30.518273865208347,0.9920356324881743,1.4392273416754813
1392,CONSTELLATION BRANDS INC,6682,R M Woodbridge Chard Cal,6.03,8.99,1500.0,101547.0,612328.4100000054,101339.0,1016328.6099999878,101339.0,22776.050000000025,79528.99,404000.1999999824,39.75094236498835,0.9979516873959842,1.6597769977714718
3960,DIAGEO NORTH AMERICA INC,3798,Ciroc Apple Vodka,19.83,28.99,750.0,30830.0,611358.9000000008,29647.0,748067.5299999918,29647.0,23348.14999999984,257032.07000000007,136708.62999999092,18.274904940733418,0.9616282841388258,1.223614361384108
3960,DIAGEO NORTH AMERICA INC,4262,Capt Morgan Spiced Rum,11.19,13.99,750.0,54552.0,610436.8800000268,55710.0,862422.8999999997,55710.0,43861.64000000075,257032.07000000007,251986.0199999729,29.21838230408457,1.0212274527056753,1.4127961927856683
1128,BROWN-FORMAN CORP,2015,Jack Daniels Tennessee Honey,18.1,22.99,750.0,33715.0,610241.4999999967,32969.0,771010.3099999955,32969.0,25959.90999999956,68601.68000000001,160768.80999999878,20.851706898705377,0.9778733501408868,1.2634511254970362
12546,JIM BEAM BRANDS COMPANY,1737,Makers Mark,34.3,51.99,1750.0,17537.0,601519.0999999947,16089.0,823521.1099999889,16089.0,29564.920000000835,123880.96999999999,222002.0099999942,26.957658681026057,0.9174317158008781,1.369068928983296
4425,MARTIGNETTI COMPANIES,38370,Oyster Bay Svgn Bl Marlboro,6.59,9.95,750.0,91140.0,600612.5999999961,90267.0,890334.4099999985,90267.0,10138.879999999908,144929.24,289721.8100000024,32.540785433644295,0.9904213298222515,1.482377176236403
6785,PALM BAY INTERNATIONAL INC,6937,Cavit Pinot Grigio,6.75,9.99,1500.0,88752.0,599076.0,87974.0,945345.0199999902,87974.0,19771.269999999924,13605.409999999998,346269.01999999024,36.628851125697345,0.9912340003605552,1.5780051612816908
8112,MOET HENNESSY USA INC,4689,Hennessy Privilege VSOP,33.33,45.99,750.0,17838.0,594540.5400000018,18005.0,858571.949999995,18005.0,14178.849999999977,48347.26,264031.40999999316,30.752391805951117,1.009362036102702,1.4440931984217467
4425,MARTIGNETTI COMPANIES,3040,Tito's Handmade Vodka,16.54,23.99,1000.0,35922.0,594149.8799999933,34901.0,842326.9899999955,34901.0,36646.0499999998,144929.24,248177.1100000022,29.463274114011657,0.9715773063860587,1.4177011867779978
17035,PERNOD RICARD USA,3625,Absolut 80 Proof,12.59,16.99,750.0,45969.0,578749.7099999987,44406.0,785296.939999996,44406.0,34961.13000000066,123780.21999999997,206547.2299999973,26.301799928062668,0.9659988252953077,1.3568852414630113
8112,MOET HENNESSY USA INC,7865,Moet & Chandon Imperial,23.97,34.99,750.0,24088.0,577389.3600000012,23290.0,834892.0999999966,23290.0,2606.5300000000525,48347.26,257502.73999999545,30.842637030581137,0.9668714712720027,1.445977632840333
12546,JIM BEAM BRANDS COMPANY,1346,Knob Creek Bourbon,22.55,29.99,750.0,25540.0,575926.9999999952,22144.0,684455.559999996,22144.0,17438.069999999585,123880.96999999999,108528.56000000075,15.856187945934924,0.8670321064996085,1.1884415212344648
7239,REMY COINTREAU USA INC,5242,Cointreau Liqueur,22.05,29.99,750.0,25361.0,559210.0499999939,24770.0,763368.2999999934,24770.0,19504.749999999476,16978.669999999995,204158.24999999953,26.744397167134302,0.9766965025038444,1.3650832992003663
7239,REMY COINTREAU USA INC,4722,Remy Martin VSOP Cognac,27.77,34.99,750.0,19910.0,552900.6999999961,18637.0,665392.629999996,18637.0,14677.689999999893,16978.669999999995,112491.92999999993,16.906097983081146,0.9360622802611753,1.2034577456675326
4425,MARTIGNETTI COMPANIES,6967,Santa Margherita Pnt Grigio,11.89,19.99,750.0,46257.0,549995.7299999988,46511.0,923055.2499999924,46511.0,5216.399999999918,144929.24,373059.5199999936,40.41573026099973,1.0054910608124177,1.6782953024017013
8664,"STOLI GROUP,(USA) LLC",3630,Stolichnaya Razberi,19.83,24.99,1750.0,27479.0,544908.5699999994,27622.0,700960.7799999957,27622.0,50751.81000000102,18544.489999999998,156052.20999999635,22.26261646193633,1.0052039739437388,1.286382374202697
1128,BROWN-FORMAN CORP,2760,Jack Daniels Tennessee Honey,28.02,38.99,1750.0,19219.0,538516.3799999909,18250.0,701171.499999994,18250.0,33536.43000000094,68601.68000000001,162655.12000000302,23.19762283549808,0.9495811436599199,1.3020430316344431
3960,DIAGEO NORTH AMERICA INC,8178,Bulleit Bourbon,18.51,25.99,750.0,28421.0,526072.7099999951,27204.0,724379.9599999988,27204.0,21421.639999999486,257032.07000000007,198307.25000000373,27.37613696546824,0.9571795503325006,1.3769578733707848
3089,SIDNEY FRANK IMPORTING CO,5445,Jagermeister Liqueur,11.76,15.99,750.0,44330.0,521320.7999999928,41133.0,661672.670000002,41133.0,32383.34000000023,8549.550000000001,140351.8700000092,21.211677066850708,0.9278817956237311,1.2692236143273223
3252,E & J GALLO WINERY,14006,Apothic Winemakers Red Blend,5.44,9.99,750.0,94779.0,515597.76000000985,91600.0,812899.3800000018,91600.0,10283.259999999811,61966.909999999996,297301.6199999919,36.57299135841281,0.9664588147163401,1.5766154220685253
3664,WILLIAM GRANT & SONS INC,3238,Hendrick's Gin,22.83,29.99,750.0,22352.0,510296.16,20847.0,632474.5299999941,20847.0,16416.799999999723,30234.42000000001,122178.36999999412,19.317516232629202,0.9326682176091625,1.2394263950565376
12546,JIM BEAM BRANDS COMPANY,3980,Hornitos Reposado Tequila,31.99,39.99,1750.0,15805.0,505601.95000000834,15381.0,565522.1899999958,15381.0,28264.510000000835,123880.96999999999,59920.23999998742,10.595559477513671,0.9731730465042708,1.1185126758312274
7245,PROXIMO SPIRITS INC.,3776,Jose Cuervo Especial Silver,18.56,25.99,1750.0,26795.0,497315.199999981,25596.0,684036.0399999949,25596.0,47031.43000000108,38994.78000000001,186720.84000001394,27.296930144209263,0.9552528456801642,1.3754577378693051
3960,DIAGEO NORTH AMERICA INC,3746,Gordons Vodka 80 Proof,8.52,12.99,1750.0,58309.0,496792.67999998684,57845.0,724360.5500000026,57845.0,106278.67999999496,257032.07000000007,227567.87000001577,31.416380972157437,0.9920423948275566,1.4580741205768608
17035,PERNOD RICARD USA,3728,Absolut Citron,18.93,24.99,1750.0,25959.0,491403.86999999895,26222.0,658689.7799999967,26222.0,48180.15000000126,123780.21999999997,167285.9099999977,25.396767200486785,1.0101313609923341,1.3404244862784618
3924,HEAVEN HILL DISTILLERIES,3243,Burnetts Vodka,8.26,10.49,1750.0,57575.0,475569.4999999942,57067.0,648535.3300000036,57067.0,104847.71999999491,14069.869999999995,172965.8300000094,26.670224735483327,0.9911767260095528,1.363702529283336
3089,SIDNEY FRANK IMPORTING CO,5440,Jagermeister Liqueur,25.92,34.99,1750.0,18298.0,474284.1599999999,18082.0,621256.1799999971,18082.0,33226.63000000098,8549.550000000001,146972.01999999722,23.657232673322927,0.9881954311946661,1.3098817805764318
480,BACARDI USA INC,4245,Bacardi Superior Rum,7.93,11.99,750.0,58816.0,466410.87999998714,58320.0,643474.7999999989,58320.0,45919.42000000177,89286.26999999999,177063.92000001174,27.516838266240118,0.9915669205658324,1.3796307667608796
9165,ULTRA BEVERAGE COMPANY LLP,36378,MezzaCorona Pnt Grigio,6.83,9.97,1500.0,68084.0,465013.72000000003,67195.0,695816.4100000068,67195.0,15097.4699999997,68054.70000000003,230802.69000000675,33.17005558980773,0.9869426003172551,1.4963352264101084
3664,WILLIAM GRANT & SONS INC,4198,Sailor Jerry Spiced Navy Rum,17.51,24.99,1750.0,25998.0,455224.9799999919,23008.0,575754.9200000003,23008.0,42276.16000000136,30234.42000000001,120529.94000000838,20.934244035640777,0.8849911531656282,1.2647700484275062
10000,MAJESTIC FINE WINES,24325,La Crema Chard Sonoma Cst,10.88,15.99,750.0,41274.0,449061.11999999353,39387.0,658288.1300000012,39387.0,4415.59999999997,17587.59,209227.01000000763,31.783500334421532,0.9542811455153365,1.4659210087036942
17035,PERNOD RICARD USA,5735,Malibu Rum,9.29,11.99,750.0,48121.0,447044.0899999993,46557.0,598769.4299999983,46557.0,36656.770000001015,123780.21999999997,151725.33999999898,25.33952676909364,0.9674985972860082,1.3393968143052717
8112,MOET HENNESSY USA INC,5342,Grand Marnier,19.85,28.99,750.0,22234.0,441344.90000000334,22623.0,687309.7699999958,22623.0,17815.44999999962,48347.26,245964.8699999925,35.786610453681455,1.0174957272645497,1.557307606817232
2555,DISARONNO INTERNATIONAL LLC,5311,Amaretto DiSaronno,23.7,31.99,1750.0,18409.0,436293.30000000645,18376.0,667168.239999997,18376.0,33767.500000000844,5861.030000000001,230874.9399999905,34.60520542764319,0.9982073985550546,1.5291737003524626
1392,CONSTELLATION BRANDS INC,19748,Clos du Bois Chard,9.2,13.99,1500.0,47153.0,433807.600000004,46069.0,701955.5900000005,46069.0,10347.029999999566,79528.99,268147.98999999656,38.20013599435775,0.977011006722796,1.6181265381242609
8112,MOET HENNESSY USA INC,3668,Belvedere Polish Vodka,34.12,42.99,1750.0,12713.0,433767.55999999325,12218.0,536414.8200000006,12218.0,22452.6400000005,48347.26,102647.2600000074,19.135798671633882,0.9610634783292693,1.2366411632995538
2561,EDRINGTON AMERICAS,2520,The Macallan 12 Yr Old,42.21,62.99,750.0,10227.0,431681.6700000005,9713.0,572039.8699999998,9713.0,7651.8299999999235,9654.500000000002,140358.19999999925,24.53643659488268,0.949740881979075,1.325142830363863
3960,DIAGEO NORTH AMERICA INC,8202,Sambuca Romana,13.33,17.99,750.0,32375.0,431558.75000000186,31816.0,606781.840000001,31816.0,25052.69999999961,257032.07000000007,175223.08999999915,28.877444651276786,0.9827335907335907,1.406023722146749
3960,DIAGEO NORTH AMERICA INC,3276,Gordons London Dry,9.62,14.99,1750.0,44631.0,429350.21999997704,44434.0,643753.6599999982,44434.0,81641.2099999982,257032.07000000007,214403.44000002113,33.30519938325814,0.9955860276489436,1.4993672531483333
3960,DIAGEO NORTH AMERICA INC,497,Capt Morgan Spiced Rum,14.7,19.99,1000.0,29200.0,429240.0000000057,29238.0,584467.6200000017,29238.0,30699.90000000009,257032.07000000007,155227.61999999604,26.55880577267832,1.0013013698630138,1.3616336315347917
3960,DIAGEO NORTH AMERICA INC,1883,Seagrams 7 Crown,13.23,17.99,1750.0,32253.0,426707.1900000127,32430.0,583415.7000000014,32430.0,59584.779999999955,257032.07000000007,156708.50999998866,26.86052329410887,1.0054878615942704,1.3672506901043406
3960,DIAGEO NORTH AMERICA INC,2767,Johnnie Walker Blue Label,139.7,189.99,750.0,2963.0,413931.1000000022,2761.0,548648.3900000004,2761.0,2176.6100000000024,257032.07000000007,134717.28999999817,24.554394482046703,0.9318258521768478,1.325458246553587
17035,PERNOD RICARD USA,482,Absolut 80 Proof,14.28,21.99,1000.0,28888.0,412520.6399999918,27866.0,599601.3400000017,27866.0,29259.30000000021,123780.21999999997,187080.7000000099,31.200847549808575,0.9646219883688729,1.4535062778919707
3960,DIAGEO NORTH AMERICA INC,8778,Bulleit Bourbon,37.29,49.99,1750.0,10966.0,408922.1399999975,10796.0,525233.0400000003,10796.0,19841.33000000048,257032.07000000007,116310.90000000276,22.144627459080393,0.9844975378442459,1.2844328751678826
1128,BROWN-FORMAN CORP,1220,Woodford Reserve Bourbon,21.89,29.99,750.0,18645.0,408139.0500000114,18408.0,589481.9199999997,18408.0,14496.359999999877,68601.68000000001,181342.8699999883,30.76309278493026,0.987288817377313,1.4443163916806863
3960,DIAGEO NORTH AMERICA INC,2418,Crown Royal Regal Apple,16.53,22.99,750.0,24558.0,405943.7399999935,24284.0,570271.1600000021,24284.0,19122.699999999546,257032.07000000007,164327.42000000866,28.8156637624824,0.9888427396367783,1.4048034340916584
1392,CONSTELLATION BRANDS INC,8504,R M Woodbridge Cab Svgn Cal,5.84,8.99,1500.0,69263.0,404495.9199999966,68667.0,686725.3300000068,68667.0,15427.259999999598,79528.99,282229.4100000102,41.09785931443761,0.9913951171621211,1.6977311662377523
660,SAZERAC NORTH AMERICA INC.,3684,Fleischmanns Royal Vodka,7.68,9.99,1750.0,52351.0,402055.67999999085,51954.0,527560.9600000067,51954.0,95452.86999999586,17932.329999999994,125505.28000001586,23.789720907326856,0.9924165727493267,1.3121589527102782
3252,E & J GALLO WINERY,14622,La Marca Prosecco,8.66,12.99,750.0,46387.0,401711.42000000115,45608.0,558344.6900000048,45608.0,5114.599999999965,61966.909999999996,156633.2700000037,28.05314939056774,0.983206501821631,1.389914904584996
8004,SAZERAC CO INC,3246,Bentley's Vodka,6.71,8.79,1750.0,59841.0,401533.110000004,59245.0,520763.5499999935,59245.0,108849.57999999434,50293.62000000002,119230.43999998952,22.895312085492737,0.9900402733911532,1.2969380034438214
17035,PERNOD RICARD USA,8339,The Glenlivet 12 Yr Single,30.21,42.99,750.0,13250.0,400282.49999999977,12463.0,544906.3700000022,12463.0,9818.559999999949,123780.21999999997,144623.87000000244,26.541049611881366,0.9406037735849057,1.3613045036942721
2555,DISARONNO INTERNATIONAL LLC,5312,Amaretto DiSaronno,14.7,21.99,750.0,27186.0,399634.20000000164,26178.0,571763.2200000072,26178.0,20614.869999999653,5861.030000000001,172129.02000000555,30.10494798878518,0.9629220922533657,1.430716440184561
3960,DIAGEO NORTH AMERICA INC,1869,Oban 14-Yr Single Malt,40.14,54.99,750.0,9892.0,397064.8799999979,9219.0,549291.8100000003,9219.0,7262.519999999931,257032.07000000007,152226.93000000238,27.713307795359682,0.9319652244237768,1.3833804943917558
8112,MOET HENNESSY USA INC,8622,Dom Perignon,87.09,145.99,750.0,4544.0,395736.9599999989,4127.0,589317.7300000002,4127.0,459.1500000000014,48347.26,193580.7700000013,32.848285423213255,0.9082306338028169,1.4891652525960726
